core_0_pkg core_0_ram core_6_pkg core_6_ram nvd_0 nvd_1
23.350465 1.044444 19.189385 1.100478 133.364000 16.620000
24.115684 1.079444 18.818228 1.106605 142.804000 16.620000
23.048370 1.044765 19.175460 1.105434 134.223000 16.620000
24.446613 1.080305 18.813061 1.106337 144.167000 16.620000
23.136457 1.040608 19.184989 1.095601 136.988000 16.716000
24.362061 1.075256 18.788452 1.100189 144.864000 16.524000
23.333984 1.048553 19.155457 1.106079 138.419000 16.620000
24.322363 1.075840 18.833663 1.108800 144.165000 16.524000
22.982864 1.048063 19.130119 1.099424 140.898000 16.620000
24.119016 1.072917 18.851080 1.111187 142.804000 16.620000
23.493403 1.055259 19.124633 1.104666 136.704000 16.716000
24.466217 1.074310 18.862396 1.106384 142.234000 16.620000
23.036957 1.048950 19.164001 1.102478 137.373000 16.716000
24.372424 1.076276 18.815137 1.108839 140.613000 16.620000
23.877399 1.043261 19.162734 1.107103 136.610000 16.620000
24.354278 1.075298 18.824804 1.104381 139.849000 16.525000
23.020156 1.047449 19.162727 1.107720 138.231000 16.620000
24.231614 1.072919 18.847425 1.104139 137.370000 16.429000
25.412608 1.054807 19.164238 1.108183 137.562000 16.429000
27.887959 1.064244 18.854323 1.110905 137.657000 16.525000
24.274934 1.049184 19.193808 1.104939 138.612000 16.429000
24.985224 1.069837 18.849286 1.109053 136.036000 16.429000
25.599945 1.049408 19.131134 1.103760 139.850000 16.429000
28.113089 1.057621 18.858321 1.102269 135.178000 16.524000
24.658163 1.056443 19.162757 1.106155 140.233000 16.525000
24.018825 1.067912 18.813787 1.104351 134.321000 16.429000
24.368610 1.046104 19.157134 1.108634 141.184000 16.429000
24.115982 1.065259 18.808392 1.104628 132.439000 16.429000
24.691922 1.056020 19.152885 1.112995 142.014000 16.620000
24.375262 1.060183 18.848640 1.111178 131.008000 16.429000
22.834671 1.059049 19.103447 1.099607 145.119000 16.525000
24.136716 1.065196 18.857336 1.108867 129.102000 16.529000
23.138122 1.059108 19.124985 1.108669 142.995000 16.620000
24.384784 1.061831 18.849983 1.110964 126.718000 16.624000
23.018203 1.061704 19.100059 1.106291 144.395000 16.620000
24.094392 1.063125 18.839100 1.109146 123.986000 16.529000
25.649116 1.059494 19.148169 1.106552 144.644000 16.620000
24.011654 1.057536 18.821264 1.108959 117.431000 16.529000
23.211850 1.067924 19.135803 1.101615 143.628000 16.525000
24.065322 1.053052 18.794354 1.106794 110.614000 16.624000
